repo_name,function_name,table_name,column_name,file_name
act-mce-src-and-prep,extract_mce_core_data,BV_EOL_BULLETIN_MILESTONE_GROUP,END_OF_ROUTINE_FAIL_ANLYSYS_DT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_EOL_BULLETIN_MILESTONE_GROUP,END_OF_SALE_DT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_EOL_BULLETIN_MILESTONE_GROUP,END_OF_SFTWR_LICENSE_AVAIL_DT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_EOL_BULLETIN_MILESTONE_GROUP,END_OF_SOFTWARE_MAINTENANCE_DT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_EOL_BULLETIN_MILESTONE_GROUP,END_OF_SVC_CONTRACT_RNWL_DT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_EOL_BULLETIN_MILESTONE_GROUP,END_OF_TAC_ENGG_SUPPORT_DT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_EOL_BULLETIN_MILESTONE_GROUP,EOL_SIGNATURE_RELEASE_DT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_EOL_BULLETIN_MILESTONE_GROUP,EOL_SOFTWARE_AVAILABLE_DT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,ALIGNED_GU_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,APPROVED_CONTRACT_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,APPROVED_SITE_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,C3_MATCHED,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CMRC_MATCHED,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CMRC_SO_LINE_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CMRC_SO_NUMBER,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,COLLECTION_DATE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,COLLECTOR_HOST_NAME,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,COLLECTOR_MATCHED,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CONFIDENCE_LEVEL,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CONTRACT_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CONTRACT_INSTALL_GU_COUNT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,COVERED_LINE_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,COVERED_STATUS,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CPL_END_DATE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CPL_START_DATE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CPL_STS_CODE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CPL_TERM_DATE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CRITICAL_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,CUSTOMER_MATCHED,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,DATA_INPUT_SOURCE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,DECOMM_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,DNR_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,ENGAGEMENT_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,EXCLUSION_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,INSTALL_AT_SITE_USE_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,INSTANCE_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,INSTANCE_STATUS_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,INVENTORY_ITEM_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,ITEM_TYPE_FLAG,MCE-src.py
